@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
91,'2020/01/07 23:12:07:000',2,478.428375,60.412758,152.548752,280.111084,1,?,?,?
92,'2020/01/07 23:12:07:050',2,478.487,60.395798,152.385254,280.139282,1,?,?,?
93,'2020/01/07 23:12:07:100',2,478.274811,60.488037,152.446869,280.192261,1,?,?,?
94,'2020/01/07 23:12:07:150',2,478.065704,60.637543,152.553421,280.251465,1,?,?,?
95,'2020/01/07 23:12:07:200',2,477.860321,60.785042,152.682159,280.173584,1,?,?,?
96,'2020/01/07 23:12:07:253',2,477.67691,60.927242,152.726547,280.164551,1,?,?,?
97,'2020/01/07 23:12:07:350',2,477.484436,61.112076,152.816391,279.935699,1,?,?,?
98,'2020/01/07 23:12:07:400',2,477.386597,61.314098,152.856644,279.673615,1,?,?,?
99,'2020/01/07 23:12:07:450',2,477.502411,61.443485,152.692932,279.439148,1,?,?,?
100,'2020/01/07 23:12:07:500',2,477.755951,61.435539,152.472244,279.326263,1,?,?,?
101,'2020/01/07 23:12:07:550',2,478.034973,61.424942,152.243088,279.28772,1,?,?,?
102,'2020/01/07 23:12:07:601',2,478.449219,61.512028,151.817688,279.178741,1,?,?,?
103,'2020/01/07 23:12:07:664',2,478.960754,61.663559,151.327698,279.000671,1,?,?,?
104,'2020/01/07 23:12:07:750',2,479.212158,61.815613,150.979706,278.779694,1,?,?,?
105,'2020/01/07 23:12:07:800',2,479.386353,61.935326,150.785278,278.721222,1,?,?,?
106,'2020/01/07 23:12:07:850',2,479.508209,61.951096,150.605881,278.649445,1,?,?,?
107,'2020/01/07 23:12:07:900',2,479.659119,61.941242,150.366043,278.605408,1,?,?,?
108,'2020/01/07 23:12:07:957',2,479.98584,61.891251,150.072006,278.577271,1,?,?,?
109,'2020/01/07 23:12:08:013',2,480.194489,61.82378,149.930481,278.54425,1,?,?,?
110,'2020/01/07 23:12:08:100',2,480.282471,61.773659,149.891586,278.421722,1,?,?,?
111,'2020/01/07 23:12:08:150',2,480.395233,61.726276,149.758194,278.428345,1,?,?,?
112,'2020/01/07 23:12:08:200',2,480.395172,61.664577,149.827438,278.416687,1,?,?,?
113,'2020/01/07 23:12:08:250',2,480.788391,61.609444,149.431885,278.141846,1,?,?,?
114,'2020/01/07 23:12:08:300',2,481.169128,61.583317,149.00116,277.812805,1,?,?,?
115,'2020/01/07 23:12:08:361',2,481.501709,61.62241,148.637497,277.692749,1,?,?,?
116,'2020/01/07 23:14:01:661',3,20.043371,72.753586,140.920624,303.05777,0.3,?,?,?
117,'2020/01/07 23:14:01:746',3,20.078573,73.912224,141.272385,302.370087,0.3,?,?,?
118,'2020/01/07 23:14:01:796',3,20.093979,75.006783,141.634048,301.626953,0.3,?,?,?
119,'2020/01/07 23:14:01:846',3,19.915586,75.383308,141.999969,301.290039,0.3,?,?,?
120,'2020/01/07 23:14:01:905',3,19.969208,76.179207,142.191681,300.969177,0.3,?,?,?
121,'2020/01/07 23:14:01:996',3,20.00515,77.008926,142.367767,300.638702,0.3,?,?,?
122,'2020/01/07 23:14:02:046',3,19.934687,77.693825,142.626175,300.441528,0.3,?,?,?
123,'2020/01/07 23:14:02:096',3,19.86862,78.600449,142.868988,299.867218,0.3,?,?,?
124,'2020/01/07 23:14:02:146',3,19.848682,79.260658,143.283401,299.542358,0.3,?,?,?
125,'2020/01/07 23:14:02:203',3,19.910715,79.490288,143.402603,299.225281,0.3,?,?,?
126,'2020/01/07 23:14:02:259',3,19.96958,79.28891,143.473328,299.207825,0.3,?,?,?
127,'2020/01/07 23:14:02:346',3,20.016253,80.067551,143.665436,298.734589,0.3,?,?,?
128,'2020/01/07 23:14:02:396',3,20.051626,80.796417,144.017822,298.469421,0.3,?,?,?
129,'2020/01/07 23:14:02:446',3,20.149651,81.632523,144.084229,297.641937,0.3,?,?,?
130,'2020/01/07 23:14:02:496',3,20.247677,82.468636,144.15065,296.814453,0.3,?,?,?
131,'2020/01/07 23:14:02:546',3,20.164036,83.932098,144.490631,295.882263,0.3,?,?,?
132,'2020/01/07 23:14:02:603',3,20.005964,85.410278,144.831909,294.887634,0.3,?,?,?
133,'2020/01/07 23:14:02:696',3,19.925138,87.213783,144.929214,293.653625,0.3,?,?,?
134,'2020/01/07 23:14:02:746',3,19.899307,88.713562,145.071106,292.915955,0.3,?,?,?
135,'2020/01/07 23:14:02:796',3,19.95229,90.735085,144.987473,291.530914,0.3,?,?,?
136,'2020/01/07 23:14:02:852',3,19.793627,92.217758,145.218887,290.720276,0.3,?,?,?
137,'2020/01/07 23:14:02:911',3,19.694206,91.894722,145.314621,291.137268,0.3,?,?,?
138,'2020/01/07 23:14:02:996',3,19.567917,91.384735,145.163956,291.628021,0.3,?,?,?
139,'2020/01/07 23:14:03:046',3,19.53513,91.953217,145.094421,291.415649,0.3,?,?,?
140,'2020/01/07 23:14:03:096',3,19.361044,92.02179,144.928055,290.987823,0.3,?,?,?
141,'2020/01/07 23:14:03:151',3,19.186958,92.090363,144.761688,290.559967,0.3,?,?,?
142,'2020/01/07 23:14:03:246',3,19.145319,91.557419,144.530624,290.803406,0.3,?,?,?
143,'2020/01/07 23:14:03:296',3,19.010899,91.260117,144.568558,291.204193,0.3,?,?,?
144,'2020/01/07 23:14:03:346',3,18.809906,90.883484,144.574036,291.744873,0.3,?,?,?
145,'2020/01/07 23:14:03:396',3,18.493435,91.249237,144.904358,292.003357,0.3,?,?,?
146,'2020/01/07 23:14:03:451',3,18.199158,91.895218,145.150909,291.901062,0.3,?,?,?
147,'2020/01/07 23:14:03:508',3,17.980021,91.609825,145.208252,292.282135,0.3,?,?,?
148,'2020/01/07 23:14:03:596',3,17.76597,91.42025,145.171097,292.524841,0.3,?,?,?
149,'2020/01/07 23:14:03:646',3,17.524263,91.55806,145.381729,292.850525,0.3,?,?,?
150,'2020/01/07 23:14:03:696',3,17.389521,91.132935,145.268539,293.416107,0.3,?,?,?
151,'2020/01/07 23:14:03:748',3,17.430519,90.868965,144.882385,293.389679,0.3,?,?,?
152,'2020/01/07 23:14:03:803',3,17.355684,91.003395,144.723648,293.295471,0.3,?,?,?
153,'2020/01/07 23:14:03:860',3,17.280851,91.137825,144.564896,293.201263,0.3,?,?,?
154,'2020/01/07 23:14:03:946',3,17.220673,91.461052,144.355362,292.787445,0.3,?,?,?
155,'2020/01/07 23:14:03:996',3,17.003729,91.623886,144.445511,292.627533,0.3,?,?,?
156,'2020/01/07 23:14:04:046',3,16.843639,91.867203,144.339966,292.433929,0.3,?,?,?
157,'2020/01/07 23:14:04:101',3,16.764566,92.012978,144.061508,292.318359,0.3,?,?,?
158,'2020/01/07 23:14:04:153',3,16.628611,92.250435,144.202042,292.322449,0.3,?,?,?
159,'2020/01/07 23:14:04:212',3,16.62479,92.158707,144.148041,292.500702,0.3,?,?,?
160,'2020/01/07 23:14:04:296',3,16.612484,92.491661,144.324936,292.591797,0.3,?,?,?
161,'2020/01/07 23:14:04:346',3,16.675198,92.023788,144.158737,293.14798,0.3,?,?,?
162,'2020/01/07 23:14:04:396',3,16.618185,91.867195,144.10675,293.381378,0.3,?,?,?
163,'2020/01/07 23:14:04:454',3,16.613506,91.32666,143.793427,293.795013,0.3,?,?,?
164,'2020/01/07 23:14:04:546',3,16.627329,90.957031,143.343903,293.88446,0.3,?,?,?
165,'2020/01/07 23:14:04:596',3,16.641153,90.58741,142.894363,293.973907,0.3,?,?,?
166,'2020/01/07 23:14:04:646',3,16.616096,90.187363,142.609299,294.247772,0.3,?,?,?
167,'2020/01/07 23:14:04:696',3,16.544895,89.556786,142.31459,294.690674,0.3,?,?,?
168,'2020/01/07 23:14:04:751',3,16.425869,88.894157,141.973831,295.15097,0.3,?,?,?
169,'2020/01/07 23:14:04:808',3,16.306843,88.231529,141.633072,295.611267,0.3,?,?,?
170,'2020/01/07 23:14:04:896',3,16.118311,88.197952,141.578018,295.722565,0.3,?,?,?
171,'2020/01/07 23:14:04:946',3,15.910748,87.773224,141.531464,296.24707,0.3,?,?,?
172,'2020/01/07 23:14:04:996',3,15.826689,86.959229,141.242752,296.880951,0.3,?,?,?
173,'2020/01/07 23:14:05:052',3,15.756688,85.658768,140.908066,297.90686,0.3,?,?,?
174,'2020/01/07 23:14:05:104',3,15.609839,84.483475,140.491211,298.64798,0.3,?,?,?
175,'2020/01/07 23:14:05:158',3,15.564672,83.088036,139.982742,299.614502,0.3,?,?,?
176,'2020/01/07 23:14:05:246',3,15.519506,81.692596,139.474274,300.581055,0.3,?,?,?
177,'2020/01/07 23:14:05:296',3,15.377482,80.313812,139.183578,301.585022,0.3,?,?,?
178,'2020/01/07 23:14:05:346',3,15.403633,78.921768,138.617996,302.434998,0.3,?,?,?
179,'2020/01/07 23:14:05:396',3,15.397945,77.498489,138.161545,303.407715,0.3,?,?,?
180,'2020/01/07 23:14:05:453',3,15.387154,76.13076,137.690292,304.335632,0.3,?,?,?
181,'2020/01/07 23:14:05:506',3,15.350092,75.655403,137.489197,304.705872,0.3,?,?,?
182,'2020/01/07 23:14:05:596',3,15.309197,75.524307,137.36055,304.738525,0.3,?,?,?
183,'2020/01/07 23:14:05:646',3,15.304358,75.319786,137.239838,304.810699,0.3,?,?,?
184,'2020/01/07 23:14:05:696',3,15.336417,75.168221,137.073776,304.897339,0.3,?,?,?
185,'2020/01/07 23:14:05:746',3,15.38821,75.11808,136.921356,304.852173,0.3,?,?,?
186,'2020/01/07 23:14:05:797',3,15.442541,74.688698,136.711502,305.10675,0.3,?,?,?
187,'2020/01/07 23:14:37:645',4,354.421844,20.895653,265.84671,415.076019,1,?,?,?
188,'2020/01/07 23:14:37:695',4,354.290375,20.710333,265.964722,415.520874,1,?,?,?
189,'2020/01/07 23:14:37:755',4,354.179321,20.576723,266.057739,415.791748,1,?,?,?
190,'2020/01/07 23:14:37:845',4,354.083038,20.604551,266.093964,415.769012,1,?,?,?
191,'2020/01/07 23:14:37:895',4,354.150543,20.657318,266.091614,415.431274,1,?,?,?
192,'2020/01/07 23:14:37:945',4,354.260529,20.706518,266.05188,415.175537,1,?,?,?
193,'2020/01/07 23:14:38:011',4,354.375427,20.799194,265.974396,415.098358,1,?,?,?
194,'2020/01/07 23:14:38:095',4,354.572235,20.845316,265.885162,414.910095,1,?,?,?
195,'2020/01/07 23:14:38:145',4,354.794952,20.897457,265.808136,414.64798,1,?,?,?
196,'2020/01/07 23:14:38:195',4,354.940308,20.911575,265.731293,414.567535,1,?,?,?
197,'2020/01/07 23:14:38:257',4,355.112671,20.935617,265.6586,414.225769,1,?,?,?
198,'2020/01/07 23:14:38:345',4,355.264709,20.929621,265.635071,414.053131,1,?,?,?
199,'2020/01/07 23:14:38:395',4,355.516815,21.149916,265.51413,413.695129,1,?,?,?
200,'2020/01/07 23:14:38:445',4,355.575562,21.285082,265.453033,413.607178,1,?,?,?
201,'2020/01/07 23:14:38:500',4,355.641968,21.418976,265.374176,413.606995,1,?,?,?
202,'2020/01/07 23:14:38:555',4,355.778961,21.689585,265.294434,412.895782,1,?,?,?
203,'2020/01/07 23:14:38:646',4,355.880127,21.904892,265.251678,412.125671,1,?,?,?
204,'2020/01/07 23:14:38:695',4,356.035065,22.137074,265.248596,411.634155,1,?,?,?
205,'2020/01/07 23:14:38:745',4,356.226288,22.347546,265.22464,411.073792,1,?,?,?
206,'2020/01/07 23:14:38:795',4,356.395935,22.523268,265.201141,410.683868,1,?,?,?
207,'2020/01/07 23:14:38:858',4,356.564026,22.724037,265.147034,410.171783,1,?,?,?
208,'2020/01/07 23:14:38:945',4,356.725891,22.96306,265.091217,409.686127,1,?,?,?
209,'2020/01/07 23:14:38:995',4,356.900696,23.177567,265.062897,409.032379,1,?,?,?
210,'2020/01/07 23:14:39:045',4,357.064972,23.36031,265.104523,408.517578,1,?,?,?
211,'2020/01/07 23:14:39:145',4,357.140442,23.541153,265.161652,408.295807,1,?,?,?
212,'2020/01/07 23:14:39:195',4,357.161133,23.682684,265.221405,408.055847,1,?,?,?
213,'2020/01/07 23:14:39:245',4,357.184143,23.809029,265.369202,407.441742,1,?,?,?
214,'2020/01/07 23:14:39:307',4,357.192932,23.958843,265.42749,407.069122,1,?,?,?
215,'2020/01/07 23:14:39:395',4,357.25293,24.218351,265.457825,406.398346,1,?,?,?
216,'2020/01/07 23:14:39:445',4,357.352448,24.392679,265.497894,405.816101,1,?,?,?
217,'2020/01/07 23:14:39:497',4,357.451752,24.554743,265.537262,405.242462,1,?,?,?
218,'2020/01/07 23:14:39:555',4,357.535675,24.70245,265.548889,404.538055,1,?,?,?
219,'2020/01/07 23:14:39:645',4,357.53186,24.744225,265.649597,404.266418,1,?,?,?
220,'2020/01/07 23:14:39:695',4,357.648468,24.866402,265.63031,404.184265,1,?,?,?
221,'2020/01/07 23:14:39:745',4,357.717407,24.982807,265.651031,404.145691,1,?,?,?
222,'2020/01/07 23:14:39:808',4,357.715729,24.962502,265.672607,404.818176,1,?,?,?
223,'2020/01/07 23:14:39:895',4,357.744324,24.967827,265.685242,405.191925,1,?,?,?
224,'2020/01/07 23:14:39:945',4,357.735748,24.943083,265.770264,405.209747,1,?,?,?
225,'2020/01/07 23:14:39:995',4,357.825562,24.988272,265.779388,404.693634,1,?,?,?
226,'2020/01/07 23:14:40:054',4,358.028198,25.225891,265.723877,403.824707,1,?,?,?
227,'2020/01/07 23:14:40:145',4,358.196289,25.477676,265.683655,403.065002,1,?,?,?
228,'2020/01/07 23:14:40:196',4,358.376007,25.658903,265.629456,402.464966,1,?,?,?
229,'2020/01/07 23:14:40:245',4,358.487183,25.748228,265.584625,402.295654,1,?,?,?
